Date/Time,Word Count,de,en,es,fr,it,ja,ko,pl,pt-BR,R5DevCulture,ru,tr,zh-Hans
2025.04.18-19.41.00,46305,13877,31165,0,0,0,0,0,0,0,46305,4857,0,13881
2025.04.18-19.43.13,46305,13877,31166,0,0,0,0,0,0,0,46305,4857,0,13881
2025.04.18-19.44.24,46305,13685,31166,0,0,0,0,0,0,0,46305,4857,0,13881
2025.04.18-19.45.36,46305,13864,31166,0,0,0,0,0,0,0,46305,4857,0,13881
2025.04.18-19.46.46,46305,13864,31166,0,0,0,0,0,0,0,46305,4857,0,13669
2025.04.18-19.47.59,46305,13864,31166,0,0,0,0,0,0,0,46305,4857,0,13864
2025.04.18-19.57.59,46305,13864,31166,0,0,0,0,0,0,0,46305,4857,0,13856
2025.04.18-20.01.19,40987,13864,25981,0,0,0,0,0,0,0,40987,3406,0,13856
2025.04.19-11.35.06,40987,13864,25981,0,0,0,0,0,0,0,40987,3406,0,13864
2025.04.19-11.36.35,40987,13864,25962,0,0,0,0,0,0,0,40987,3406,0,13864
2025.04.21-15.58.59,41114,13667,25741,0,0,0,0,0,0,0,41114,3387,0,13667
2025.04.21-16.03.48,41114,13667,25741,0,0,0,0,0,0,0,41114,3387,0,13707
2025.04.21-16.05.03,41114,13667,25741,0,0,0,0,0,0,0,41114,3387,0,13667
2025.04.21-16.09.11,41114,13667,25741,0,0,0,0,0,0,0,41114,3387,0,13727
2025.04.23-11.28.48,41825,13279,25282,0,0,0,0,0,0,0,41825,3148,0,13339
2025.04.25-14.39.32,41930,12686,24670,0,0,0,0,0,0,0,41930,12727,0,12746
2025.04.29-17.12.02,42513,12631,24292,0,0,0,0,0,0,0,42513,13468,0,12691
2025.04.30-10.10.06,42549,12631,24289,0,0,0,0,0,0,0,42549,14198,0,12691
2025.04.30-11.37.23,42557,12631,24260,0,0,0,0,0,0,0,42557,16321,0,12691
2025.04.30-11.39.47,42557,12631,24260,0,0,0,0,0,0,0,42557,16321,0,13630
2025.04.30-11.40.49,42557,12631,24260,0,0,0,0,0,0,0,42557,16321,0,17055
2025.04.30-11.41.50,42557,12631,24260,0,0,0,0,0,0,0,42557,16321,0,24826
2025.04.30-11.43.01,42557,13570,24260,0,0,0,0,0,0,0,42557,16321,0,24826
2025.04.30-11.44.07,42557,16995,24260,0,0,0,0,0,0,0,42557,16321,0,24826
2025.04.30-11.45.07,42557,24766,24260,0,0,0,0,0,0,0,42557,16321,0,24826
2025.05.05-11.26.25,43121,24742,24253,0,0,0,0,0,0,0,43121,15688,0,24802
2025.05.05-18.54.00,43139,24716,24227,0,0,0,0,0,0,0,43139,18352,0,24776
2025.05.05-19.20.37,43171,24666,24177,0,0,0,0,0,0,0,43171,18435,0,24726
2025.05.06-10.25.40,43174,24666,24177,0,0,0,0,0,0,0,43174,18431,0,24726
2025.05.06-17.13.44,43174,24666,24177,0,0,0,0,0,0,0,43174,33855,0,24726
2025.05.06-18.46.37,43198,24587,24098,0,0,0,0,0,0,0,43095,33962,0,24647
2025.05.06-18.47.51,43198,24587,24098,0,0,0,0,0,0,0,43095,34360,0,24647
2025.05.07-15.11.18,43329,24587,24098,0,0,0,0,0,0,0,43329,34360,0,24647
2025.05.07-15.24.42,43329,24587,24098,0,0,0,0,0,0,0,43329,36052,0,24647
2025.05.07-19.03.43,43329,24587,24098,0,0,0,0,0,0,0,43329,42961,0,24647
2025.05.07-19.05.22,43329,24587,24098,0,0,0,0,0,0,0,43329,43167,0,24647
2025.05.07-19.26.11,43329,24587,24098,0,0,0,0,0,0,0,43329,43329,0,24647
2025.05.12-12.45.50,43345,24587,24098,0,0,0,0,0,0,0,43345,43321,0,24647
2025.05.12-12.56.41,43345,24587,24098,0,0,0,0,0,0,0,43345,43345,0,24647
2025.05.13-17.24.28,43053,24377,23888,0,0,0,0,0,0,0,42116,43053,0,24437
2025.05.13-17.30.05,43053,24377,23888,0,0,0,0,0,0,0,43053,43053,0,24437
2025.05.16-12.30.56,43053,24377,42083,0,0,0,0,0,0,0,43053,43053,0,24437
2025.05.16-12.32.33,43053,24377,43044,0,0,0,0,0,0,0,43053,43053,0,24437
2025.05.16-12.34.19,43053,42082,43044,0,0,0,0,0,0,0,43053,43053,0,24437
2025.05.16-12.35.51,43053,43043,43044,0,0,0,0,0,0,0,43053,43053,0,24437
2025.05.28-10.51.59,43053,43043,42097,0,0,0,0,0,0,0,43053,43053,0,24437
2025.05.28-10.57.44,43053,43043,43044,0,0,0,0,0,0,0,43053,43053,0,24437
2025.05.28-11.21.01,43053,42096,43044,0,0,0,0,0,0,0,43053,43053,0,24437
2025.05.28-11.23.17,43053,43043,43044,0,0,0,0,0,0,0,43053,43053,0,24437
2025.05.28-11.27.40,43053,43043,43044,0,0,0,0,0,0,0,43053,43053,0,42082
2025.05.28-11.29.25,43053,43043,43044,0,0,0,0,0,0,0,43053,43053,0,43043
2025.05.29-12.20.30,43060,43043,43044,0,0,0,0,0,0,0,43060,43053,0,43043
2025.05.29-12.38.25,43060,43043,43051,0,0,0,0,0,0,0,43060,43053,0,43043
2025.05.29-12.40.07,43060,43050,43051,0,0,0,0,0,0,0,43060,43053,0,43043
2025.05.29-12.43.02,43060,43050,43051,0,0,0,0,0,0,0,43060,43060,0,43043
2025.05.29-21.03.46,43060,43050,43057,0,0,0,0,0,0,0,43060,43060,0,43043
2025.05.29-21.05.43,43060,43051,43057,0,0,0,0,0,0,0,43060,43060,0,43043
2025.05.29-21.07.11,43060,43051,43057,0,0,0,0,0,0,0,43060,43060,0,43051
2025.06.24-15.12.02,43494,43048,43054,0,0,0,0,0,0,0,43494,43057,0,43048
2025.06.24-15.13.49,43494,43048,43054,0,0,0,0,0,0,0,43494,43057,0,43054
2026.01.05-16.29.42,46527,19592,19598,0,0,0,0,0,0,0,46527,19601,0,19598
2026.01.05-18.25.53,54382,11047,11053,0,0,0,0,0,0,0,54382,11056,0,11053
2026.01.14-18.01.34,66260,10886,10892,0,0,0,0,0,0,0,66260,10895,0,10892
2026.01.14-18.03.38,66260,10886,11710,0,0,0,0,0,0,0,66260,10895,0,10892
2026.01.14-18.04.37,66260,10886,13554,0,0,0,0,0,0,0,66260,10895,0,10892
2026.01.14-19.30.22,66412,10757,13425,0,0,0,0,0,0,0,66412,10766,0,10763
2026.01.19-20.51.58,66462,10755,16109,0,0,0,0,0,0,0,66249,10764,0,10761
2026.01.19-20.53.20,66462,10755,32194,0,0,0,0,0,0,0,66249,10764,0,10761
2026.01.19-20.55.45,66614,10745,32184,0,0,0,0,0,0,0,66614,10754,0,10751
2026.01.20-11.53.25,66660,10668,32053,0,0,0,0,0,0,0,66660,10677,0,10674
2026.01.20-11.56.29,66660,10668,38778,0,0,0,0,0,0,0,66660,10677,0,10674
2026.01.20-19.46.18,66736,10589,38546,0,0,0,0,0,0,0,66736,10598,0,10595
2026.01.21-12.37.28,66735,10586,38543,0,0,0,0,0,0,0,66735,10595,0,10592
2026.02.02-10.58.43,67396,10453,37745,0,0,0,0,0,0,0,67396,27704,0,10459
2026.02.02-11.01.09,67396,10453,54169,0,0,0,0,0,0,0,67396,27704,0,10459
2026.02.02-12.06.59,67397,10453,54169,0,0,0,0,0,0,0,67397,27704,0,10459
2026.02.02-15.15.08,67413,10456,53905,0,0,0,0,0,0,0,67413,27702,0,10462
2026.02.02-15.20.57,67413,10456,53910,0,0,0,0,0,0,0,67413,27702,0,10462
2026.02.02-20.58.18,67472,10456,53827,0,0,0,0,0,0,0,67472,27702,0,10462
2026.02.02-23.21.17,67475,10456,53827,0,0,0,0,0,0,0,67475,27702,0,10462
2026.02.04-11.40.36,67943,10456,53279,0,0,0,0,0,0,0,67943,27702,0,10462
2026.02.04-11.43.33,67943,10456,54914,0,0,0,0,0,0,0,67943,27702,0,10462
2026.02.04-21.05.59,67943,10456,56081,0,0,0,0,0,0,0,67943,27702,0,10462
2026.02.06-14.46.48,67952,10456,56081,0,0,0,0,0,0,0,67952,27702,0,10462
2026.02.06-14.50.33,67952,10456,56102,0,0,0,0,0,0,0,67952,27702,0,10462
2026.02.07-01.28.35,67952,10456,56122,0,0,0,0,0,0,0,67952,27702,0,10462
2026.02.12-14.02.08,68005,10437,55892,0,0,0,0,0,0,0,68005,27683,0,10443
2026.02.12-14.05.47,68005,10437,56123,0,0,0,0,0,0,0,68005,27683,0,10443
2026.02.13-11.40.48,68005,10437,56123,0,0,0,0,0,0,0,68005,65275,0,10443
2026.02.13-19.30.10,68058,10427,56100,0,0,0,0,0,0,0,68058,65218,0,10433
2026.02.23-13.02.26,68295,10425,55834,0,0,0,0,0,0,0,68295,64952,0,10426
2026.02.23-13.08.42,68295,10425,55833,0,0,0,0,0,0,0,68295,64952,0,10426
2026.02.23-13.09.47,68295,10425,55833,0,0,0,0,0,0,0,68295,64952,0,55023
2026.02.23-13.11.12,68295,54494,55833,0,0,0,0,0,0,0,68295,64952,0,55023
2026.02.23-13.12.46,68295,54494,55833,0,0,0,0,0,0,0,68295,64951,0,55023
2026.02.23-13.22.08,68295,54494,55833,0,0,0,0,0,0,0,68295,64939,0,55023
2026.03.02-16.36.11,68511,54225,55564,0,0,0,0,0,0,0,68511,64670,0,54754
2026.03.02-16.37.23,68511,54225,67867,0,0,0,0,0,0,0,68511,64670,0,54754
2026.03.03-18.59.00,68696,54218,67849,0,0,0,0,0,0,0,68696,64652,0,54741
2026.03.03-19.23.59,68696,54218,67851,0,0,0,0,0,0,0,68696,64652,0,54741
2026.03.03-20.44.24,68696,54240,67900,0,0,0,0,0,0,0,68696,64701,0,54763
2026.03.05-17.46.37,69549,52806,66396,0,0,0,0,0,0,0,69549,63248,0,53329
2026.03.10-11.58.47,70028,52636,66226,0,0,0,0,0,0,0,70028,63082,0,53159
2026.03.10-12.04.13,70028,52636,69079,0,0,0,0,0,0,0,70028,63082,0,53159
2026.03.10-12.46.55,70028,52636,70028,0,0,0,0,0,0,0,70028,63082,0,53159
2026.03.12-13.25.29,70034,52633,70025,0,0,0,0,0,0,0,70034,63079,0,53156
2026.03.12-13.29.38,70034,52633,70025,0,0,0,0,0,0,0,70034,63079,0,68066
2026.03.12-13.30.38,70034,52633,70025,0,67825,0,0,0,0,0,70034,63079,0,68066
2026.03.12-13.31.37,70034,67847,70025,0,67825,0,0,0,0,0,70034,63079,0,68066
2026.03.12-13.32.35,70034,67847,70025,0,67825,67825,0,0,0,0,70034,63079,0,68066
2026.03.12-13.33.34,70034,67847,70025,0,67825,67825,68033,0,0,0,70034,63079,0,68066
2026.03.12-13.34.32,70034,67847,70025,0,67825,67825,68033,68033,0,0,70034,63079,0,68066
2026.03.12-13.35.31,70034,67847,70025,0,67825,67825,68033,68033,67825,0,70034,63079,0,68066
2026.03.12-13.36.34,70034,67847,70025,0,67825,67825,68033,68033,67825,67825,70034,63079,0,68066
2026.03.12-13.37.34,70034,67847,70025,67825,67825,67825,68033,68033,67825,67825,70034,63079,0,68066
2026.03.12-13.38.36,70034,67847,70025,67825,67825,67825,68033,68033,67825,67825,70034,63079,67825,68066
2026.03.18-11.40.03,70108,67845,70023,67823,67823,67823,68031,68031,67823,67823,70108,63077,67823,68064
2026.03.18-15.52.04,70110,67839,70017,67817,67817,67817,68025,68025,67817,67817,70110,63706,67817,68058
2026.03.20-10.25.30,70355,67643,69771,67621,67621,67621,67828,67828,67621,67621,70355,65396,67621,67861
2026.03.20-10.36.11,70355,67643,69771,67621,67621,67621,67828,67828,67621,67621,70355,65396,67621,69084
2026.03.20-10.37.18,70355,67643,69050,67621,67621,67621,67828,67828,67621,67621,70355,65396,67621,69084
2026.03.20-10.38.30,70355,67643,69050,67621,69084,67621,67828,67828,67621,67621,70355,65396,67621,69084
2026.03.20-10.39.33,70355,69084,69050,67621,69084,67621,67828,67828,67621,67621,70355,65396,67621,69084
2026.03.20-10.40.41,70355,69084,69050,67621,69084,69084,67828,67828,67621,67621,70355,65396,67621,69084
2026.03.20-10.41.53,70355,69084,69050,67621,69084,69084,69083,67828,67621,67621,70355,65396,67621,69084
2026.03.20-10.43.09,70355,69084,69050,67621,69084,69084,69083,69083,67621,67621,70355,65396,67621,69084
2026.03.20-10.44.17,70355,69084,69050,67621,69084,69084,69083,69083,69084,67621,70355,65396,67621,69084
2026.03.20-10.45.24,70355,69084,69050,67621,69084,69084,69083,69083,69084,69084,70355,65396,67621,69084
2026.03.20-10.46.43,70355,69084,69050,69084,69084,69084,69083,69083,69084,69084,70355,65396,67621,69084
2026.03.20-10.47.50,70355,69084,69050,69084,69084,69084,69083,69083,69084,69084,70355,65396,69084,69084
2026.03.20-17.06.53,70009,67943,67909,67943,67943,67943,67942,67942,67943,67943,70009,66479,67943,67943
2026.03.21-17.02.32,70030,67906,67872,67906,67906,67906,67905,67905,67906,67906,70030,68489,67906,67906
2026.03.23-11.52.33,70182,67310,67276,67310,67310,67310,67309,67309,67310,67310,70182,67893,67310,67310
2026.03.24-12.02.50,70399,67184,67150,67184,67184,67184,67183,67183,67184,67184,70399,68638,67184,67184
2026.03.25-11.54.05,70362,66828,66831,66828,66828,66828,66827,66827,66828,66828,70362,68594,66828,66828
2026.03.25-14.03.51,70384,66768,66771,66768,66768,66768,66767,66767,66768,66768,70384,68853,66768,66768
2026.03.26-10.59.06,70414,66423,66548,66423,66423,66423,66422,66422,66423,66423,70414,68579,66423,66423
2026.03.26-12.23.46,70414,66423,66548,66423,66423,66423,66422,66422,66423,66423,70414,69152,66423,66423
2026.03.27-14.33.35,70404,66367,66492,66367,66367,66367,66366,66366,66367,66367,70404,70344,66367,66367
2026.03.27-18.24.40,70423,66367,66492,66367,66367,66367,66366,66366,66367,66367,70423,70404,66367,66367
2026.03.28-17.37.12,70426,66529,66654,66529,66529,66529,66528,66528,66529,66529,70426,70204,66529,66529
2026.03.28-18.04.25,70427,66927,67097,66927,66927,66927,66926,66926,66927,66927,70427,69984,66927,66927
2026.03.30-01.34.08,70427,66927,67097,66927,66927,66927,66926,66926,66927,66927,70427,70427,66927,66927
2026.03.30-01.47.44,70427,66927,67097,66927,66927,66927,66926,66926,66927,66927,70427,70427,66927,70427
2026.03.30-01.48.56,70427,66927,70418,66927,66927,66927,66926,66926,66927,66927,70427,70427,66927,70427
2026.03.30-01.53.13,70427,66927,70418,66927,70427,66927,66926,66926,66927,66927,70427,70427,66927,70427
2026.03.30-01.54.32,70427,70427,70418,66927,70427,66927,66926,66926,66927,66927,70427,70427,66927,70427
2026.03.30-01.55.41,70427,70427,70418,66927,70427,70427,66926,66926,66927,66927,70427,70427,66927,70427
2026.03.30-01.57.12,70427,70427,70418,66927,70427,70427,70427,66926,66927,66927,70427,70427,66927,70427
2026.03.30-01.58.19,70427,70427,70418,66927,70427,70427,70427,70427,66927,66927,70427,70427,66927,70427
2026.03.30-01.59.20,70427,70427,70418,66927,70427,70427,70427,70427,70427,66927,70427,70427,66927,70427
2026.03.30-02.00.26,70427,70427,70418,66927,70427,70427,70427,70427,70427,70427,70427,70427,66927,70427
2026.03.30-02.02.29,70427,70427,70418,70427,70427,70427,70427,70427,70427,70427,70427,70427,66927,70427
2026.03.30-02.03.39,70427,70427,70418,70427,70427,70427,70427,70427,70427,70427,70427,70427,70427,70427
2026.03.30-10.27.40,70427,70427,70427,70427,70427,70427,70427,70427,70427,70427,70427,70427,70427,70427
2026.03.30-11.54.22,70445,70412,70412,70412,70412,70412,70412,70412,70412,70412,70445,70412,70412,70412
2026.03.30-12.20.03,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445
2026.04.01-14.01.37,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70430,70445,70445
2026.04.01-18.27.19,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445
2026.04.02-17.46.25,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70430
2026.04.02-17.50.19,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445
2026.04.02-22.36.18,70445,70445,70445,70445,70445,70445,70430,70445,70445,70445,70445,70445,70445,70445
2026.04.02-23.35.47,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445,70445
2026.04.03-13.49.38,70448,70445,70445,70445,70445,70445,70445,70445,70445,70445,70448,70445,70445,70445
2026.04.03-20.14.24,70448,70445,70445,70445,70445,70445,70445,70445,70445,70445,70448,70448,70445,70445
2026.04.06-16.45.32,70448,70445,70445,70445,70445,70445,70445,70445,70445,70445,70448,70448,70445,70430
2026.04.06-16.48.04,70448,70445,70430,70445,70445,70445,70445,70445,70445,70445,70448,70448,70445,70445
2026.04.06-16.50.09,70448,70445,70445,70445,70430,70445,70445,70445,70445,70445,70448,70448,70445,70445
2026.04.06-16.51.35,70448,70445,70445,70445,70445,70430,70445,70445,70445,70445,70448,70448,70445,70445
2026.04.06-16.53.59,70448,70445,70445,70445,70445,70445,70430,70445,70445,70445,70448,70448,70445,70445
2026.04.06-16.55.46,70448,70445,70445,70445,70445,70445,70445,70430,70445,70445,70448,70448,70445,70445
2026.04.06-16.57.33,70448,70445,70445,70445,70445,70445,70445,70445,70445,70430,70448,70448,70445,70445
2026.04.06-16.59.02,70448,70445,70445,70445,70445,70445,70445,70445,70445,70445,70448,70448,70430,70445
2026.04.06-17.01.07,70448,70445,70445,70445,70445,70445,70445,70445,70445,70445,70448,70448,70445,70445
2026.04.07-13.42.10,70513,70298,70298,70298,70298,70298,70298,70298,70298,70298,70513,70301,70298,70298
2026.04.07-14.28.31,70513,70506,70506,70506,70506,70506,70506,70506,70506,70506,70513,70509,70506,70506
2026.04.08-12.41.57,70527,70496,70496,70496,70496,70496,70496,70496,70496,70496,70527,70499,70496,70496
2026.04.08-12.51.06,70527,70496,70496,70496,70496,70496,70496,70496,70496,70496,70527,70499,70496,70273
2026.04.08-12.55.24,70527,70496,70496,70496,70496,70496,70496,70496,70496,70496,70527,70499,70496,70496
2026.04.08-13.13.00,70527,70496,70496,70496,70496,70496,70496,70496,70496,70496,70527,70499,70496,70527
2026.04.09-12.08.35,70527,70496,70496,70496,70496,70496,70496,70496,70496,70496,70527,70527,70496,70527
2026.04.10-14.46.44,70527,70496,70273,70496,70496,70496,70496,70496,70496,70496,70527,70527,70496,70527
2026.04.10-14.53.54,70527,70496,70273,70496,70273,70496,70496,70496,70496,70496,70527,70527,70496,70527
2026.04.10-14.56.07,70527,70273,70273,70496,70273,70496,70496,70496,70496,70496,70527,70527,70496,70527
2026.04.10-15.06.10,70527,70273,70273,70496,70273,70239,70496,70496,70496,70496,70527,70527,70496,70527
2026.04.10-15.08.23,70527,70273,70273,70496,70273,70239,70273,70496,70496,70496,70527,70527,70496,70527
2026.04.10-15.10.31,70527,70273,70273,70496,70273,70239,70273,70273,70496,70496,70527,70527,70496,70527
2026.04.10-15.12.07,70527,70273,70273,70496,70273,70239,70273,70273,70273,70496,70527,70527,70496,70527
2026.04.10-15.26.30,70527,70273,70273,70496,70273,70239,70273,70273,70273,70273,70527,70527,70496,70527
2026.04.10-15.28.13,70527,70273,70273,70273,70273,70239,70273,70273,70273,70273,70527,70527,70496,70527
2026.04.10-15.32.07,70527,70273,70273,70273,70273,70239,70273,70273,70273,70273,70527,70527,70026,70527
2026.04.10-15.36.08,70527,70273,70481,70273,70273,70239,70273,70273,70273,70273,70527,70527,70026,70527
2026.04.10-15.37.48,70527,70273,70481,70273,70481,70239,70273,70273,70273,70273,70527,70527,70026,70527
2026.04.10-15.39.35,70527,70481,70481,70273,70481,70239,70273,70273,70273,70273,70527,70527,70026,70527
2026.04.10-15.41.39,70527,70481,70481,70273,70481,70447,70273,70273,70273,70273,70527,70527,70026,70527
2026.04.10-15.43.20,70527,70481,70481,70273,70481,70447,70481,70273,70273,70273,70527,70527,70026,70527
2026.04.10-15.46.10,70527,70481,70481,70273,70481,70447,70481,70481,70273,70273,70527,70527,70026,70527
2026.04.10-15.47.27,70527,70481,70481,70273,70481,70447,70481,70481,70481,70273,70527,70527,70026,70527
2026.04.10-15.49.33,70527,70481,70481,70273,70481,70447,70481,70481,70481,70481,70527,70527,70026,70527
2026.04.10-15.50.44,70527,70481,70481,70481,70481,70447,70481,70481,70481,70481,70527,70527,70026,70527
2026.04.10-15.52.12,70527,70481,70481,70481,70481,70447,70481,70481,70481,70481,70527,70527,70234,70527
2026.04.10-16.10.51,70527,70481,70481,70481,70481,70506,70481,70481,70481,70481,70527,70527,70506,70527
2026.04.10-16.27.54,70527,70527,70527,70527,70527,70527,70527,70527,70527,70527,70527,70527,70527,70527
2026.04.10-17.01.01,70527,70527,70527,70527,70527,70527,70294,70527,70527,70527,70527,70527,70527,70527
2026.04.10-17.02.34,70527,70527,70527,70527,70527,70527,70502,70527,70527,70527,70527,70527,70527,70527
2026.04.10-17.04.08,70527,70527,70527,70527,70527,70527,70527,70527,70527,70527,70527,70527,70527,70527
2026.04.18-18.06.57,70694,70508,70508,70508,70508,70508,70508,70508,70508,70508,70694,70508,70508,70508
2026.04.18-18.08.14,70694,70508,70694,70508,70508,70508,70508,70508,70508,70508,70694,70508,70508,70508
2026.04.18-18.12.15,70694,70508,70694,70508,70508,70508,70508,70508,70508,70508,70694,70508,70508,70694
2026.04.18-18.13.15,70694,70508,70694,70508,70694,70508,70508,70508,70508,70508,70694,70508,70508,70694
2026.04.18-18.20.25,70694,70694,70694,70508,70694,70508,70508,70508,70508,70508,70694,70508,70508,70694
2026.04.18-18.21.30,70694,70694,70694,70508,70694,70694,70508,70508,70508,70508,70694,70508,70508,70694
2026.04.18-18.22.39,70694,70694,70694,70508,70694,70694,70694,70508,70508,70508,70694,70508,70508,70694
2026.04.18-18.23.42,70694,70694,70694,70508,70694,70694,70694,70694,70508,70508,70694,70508,70508,70694
2026.04.18-18.24.46,70694,70694,70694,70508,70694,70694,70694,70694,70694,70508,70694,70508,70508,70694
2026.04.18-18.25.49,70694,70694,70694,70508,70694,70694,70694,70694,70694,70694,70694,70508,70508,70694
2026.04.18-18.26.57,70694,70694,70694,70508,70694,70694,70694,70694,70694,70694,70694,70694,70508,70694
2026.04.18-18.28.02,70694,70694,70694,70694,70694,70694,70694,70694,70694,70694,70694,70694,70508,70694
2026.04.18-18.29.10,70694,70694,70694,70694,70694,70694,70694,70694,70694,70694,70694,70694,70694,70694
2026.04.29-14.03.08,71637,70690,70690,70690,70690,70690,70690,70690,70690,70690,71637,70690,70690,70690
2026.04.29-14.14.20,71637,70690,70690,70690,70690,70690,70690,70690,70690,70690,71637,70690,70690,71637
2026.04.29-14.15.27,71637,70690,71637,70690,70690,70690,70690,70690,70690,70690,71637,70690,70690,71637
2026.04.29-14.16.30,71637,70690,71637,70690,71637,70690,70690,70690,70690,70690,71637,70690,70690,71637
2026.04.29-14.17.30,71637,71620,71637,70690,71637,70690,70690,70690,70690,70690,71637,70690,70690,71637
2026.04.29-14.18.45,71637,71620,71637,70690,71637,71637,70690,70690,70690,70690,71637,70690,70690,71637
2026.04.29-14.20.02,71637,71620,71637,70690,71637,71637,71637,70690,70690,70690,71637,70690,70690,71637
2026.04.29-14.21.17,71637,71620,71637,70690,71637,71637,71637,71637,70690,70690,71637,70690,70690,71637
2026.04.29-14.22.39,71637,71620,71637,70690,71637,71637,71637,71637,71637,70690,71637,70690,70690,71637
2026.04.29-14.24.26,71637,71620,71637,70690,71637,71637,71637,71637,71637,71637,71637,70690,70690,71637
2026.04.29-14.29.58,71637,71620,71637,70690,71637,71637,71637,71637,71637,71637,71637,71637,70690,71637
2026.04.29-14.31.07,71637,71620,71637,71637,71637,71637,71637,71637,71637,71637,71637,71637,70690,71637
